file_path,class,loc,interactivity_signals,estimated_effort_hours,notes
web/src/app/(workspace)/[tenantSlug]/client/today/_components/TodayPriorityCard.tsx,C,278,react:useState | events:4 | jsx-nodes:27,0.00,react-hooks=useState
web/src/app/(workspace)/[tenantSlug]/talent/_talent-page-route-syncer.tsx,C,32,react:useEffect | custom-hooks:useAdminShell | jsx-nodes:0,0.00,react-hooks=useEffect; custom-hooks=useAdminShell
web/src/app/(workspace)/[tenantSlug]/talent/inbox/InboxShell.tsx,C,284,react:useState | events:1 | jsx-nodes:7,0.00,react-hooks=useState
web/src/app/(workspace)/[tenantSlug]/talent/inbox/[id]/_pin-then-redirect.tsx,C,47,react:useEffect | nav:useRouter | jsx-nodes:1,0.00,navigation hook + state/effect — route-aware interactive shell
web/src/app/(workspace)/[tenantSlug]/talent/profile/fields/talent-self-fields-editor.tsx,A,36,jsx-nodes:1,0.25,pure presentational
web/src/app/(workspace)/[tenantSlug]/talent/settings/ContactPrefsShell.tsx,C,267,"react:useState,useTransition | events:2 | jsx-nodes:17",0.00,heavy state (3 useState)
web/src/app/(workspace)/[tenantSlug]/talent/settings/TalentSubscriptionShell.tsx,B,400,events:2 | browser:window | jsx-nodes:35,8.00,static JSX wrapper with 2 small handler(s) (density 0.06)
web/src/app/(workspace)/[tenantSlug]/talent/settings/payouts/PayoutsShell.tsx,C,221,"react:useState,useTransition | events:1 | browser:window | jsx-nodes:22",0.00,"react-hooks=useState,useTransition; browser=window"
web/src/app/(workspace)/[tenantSlug]/talent/talent-topbar.tsx,B,137,nav:usePathname | jsx-nodes:8,5.37,uses pathname for active-link only — wrap nav strip as island
web/src/app/(workspace)/platform/admin/billing/discount-codes/DiscountCodeShell.tsx,C,469,events:13 | jsx-nodes:47,0.00,heavy state (11 useState)
web/src/app/(workspace)/platform/admin/platform-topbar.tsx,B,181,nav:usePathname | jsx-nodes:9,5.81,uses pathname for active-link only — wrap nav strip as island
web/src/app/__phase-c-harness/HarnessClient.tsx,C,83,react:useState | events:1 | jsx-nodes:17,0.00,react-hooks=useState
web/src/app/error.tsx,C,182,"react:useEffect,useState | events:1 | browser:window | jsx-nodes:10",0.00,"react-hooks=useEffect,useState; browser=window"
web/src/app/onboarding/talent-location/talent-location-onboarding-form.tsx,C,185,"react:useActionState,useEffect,useRef | custom-hooks:useFormPersistence | jsx-nodes:43",0.00,"react-hooks=useActionState,useEffect,useRef; custom-hooks=useFormPersistence"
web/src/app/share/pitch/[token]/_pitch-landing.tsx,C,739,"react:useEffect,useRef,useState | events:14 | jsx-nodes:127",0.00,heavy state (9 useState)
web/src/app/t/[profileCode]/talent-profile-inquire-button.tsx,C,188,"react:useEffect,useState,useTransition | events:3 | jsx-nodes:7",0.00,"react-hooks=useEffect,useState,useTransition"
web/src/components/account-menu.tsx,C,108,"react:useEffect,useRef,useState | events:3 | browser:document,window | jsx-nodes:17",0.00,"react-hooks=useEffect,useRef,useState; browser=document,window"
web/src/components/admin/account/account-drawer-content.tsx,C,354,"custom-hooks:useAdminWorkspace,useUpgradeModal | events:4 | jsx-nodes:91",0.00,"custom-hooks=useAdminWorkspace,useUpgradeModal"
web/src/components/admin/account/account-shell.tsx,C,280,custom-hooks:useAdminWorkspace | events:8 | jsx-nodes:37,0.00,custom-hooks=useAdminWorkspace
web/src/components/admin/admin-analytics-subnav.tsx,C,32,nav:usePathname | jsx-nodes:1,0.00,nav-hooks=usePathname
web/src/components/admin/admin-booking-list-row-quick-actions.tsx,C,98,react:useActionState | custom-hooks:useQueuedRouterRefresh | events:1 | jsx-nodes:17,0.00,react-hooks=useActionState; custom-hooks=useQueuedRouterRefresh
web/src/components/admin/admin-booking-peek-sheet.tsx,C,238,"react:useActionState | custom-hooks:useAdminPanelState,useQueuedRouterRefresh | events:6 | jsx-nodes:59",0.00,"react-hooks=useActionState; custom-hooks=useAdminPanelState,useQueuedRouterRefresh"
web/src/components/admin/admin-client-inquiries-panel.tsx,C,246,"react:useEffect,useState | events:5 | jsx-nodes:24",0.00,"react-hooks=useEffect,useState"
web/src/components/admin/admin-client-search-picker.tsx,C,161,"react:useEffect,useState | events:3 | browser:window | jsx-nodes:23",0.00,heavy state (5 useState)
web/src/components/admin/admin-collapsible-section.tsx,C,62,react:useState | events:1 | jsx-nodes:4,0.00,react-hooks=useState
web/src/components/admin/admin-command-palette.tsx,C,516,"react:useEffect,useState | nav:useRouter | events:8 | browser:window | jsx-nodes:81",0.00,heavy state (4 useState)
web/src/components/admin/admin-commercial-list-intake.tsx,C,87,react:useState | events:4 | jsx-nodes:8,0.00,react-hooks=useState
web/src/components/admin/admin-commercial-reassign.tsx,C,600,"react:useActionState,useState | custom-hooks:useQueuedRouterRefresh | events:22 | jsx-nodes:176",0.00,heavy state (4 useState)
web/src/components/admin/admin-copy-entity-id-button.tsx,C,36,"react:useState | events:1 | browser:navigator,window | jsx-nodes:1",0.00,"react-hooks=useState; browser=navigator,window"
web/src/components/admin/admin-filter-bar.tsx,C,76,react:useState | events:1 | jsx-nodes:7,0.00,react-hooks=useState
web/src/components/admin/admin-inline-commercial-sheets.tsx,C,99,react:useState | events:6 | jsx-nodes:13,0.00,heavy state (3 useState)
